Violent crime rate,Property crime rates
448.5,4485.1
436,5209.7
650.9,7519.9
335.2,3475.9
893.6,6939.5
528.6,6804.9
412.5,5469.2
474.8,6301.8
2010.6,8012.2
983.5,7418.4
555.3,5048.3
299.5,7182.8
313.4,4468.8
808,5461.1
377.8,4552.5
200.4,4546.4
389.3,4989.5
266.7,3167.1
665,4788.8
193.4,4174.2
852.4,5777.7
601.3,5477.8
639.5,6036.4
227.8,4571.7
341.9,3075.2
554.5,4878.6
222.6,4801.9
224.6,4080.6
912.6,7941.4
179.8,4499.8
604.4,5797
615,5364.1
1029.5,5882
455,4185.5
54,2909.7
498.3,4933.1
419.5,4633.4
490.4,6196.5
363.9,3372.4
408.5,5524.1
660,4779.2
126.8,3116.3
458.1,4039.8
550.3,5592.7
303.3,5577.3
178.8,4809.7
307.2,4312.8
464.3,6450.7
183.7,2367.9
182.6,4616
392.6,4593.8
470.5,4428.3
615.8,5979.1
575.8,7038.1
310.3,3486.1
863,6727.5
531.7,6821.4
448.1,5389.2
509,6180.3
2274.8,8402.8
965.1,7067.4
548.2,5080.4
247.6,6295.8
283.3,4247.4
792.5,5323.2
341.6,4198.2
204.2,4512.4
369.4,5034.9
289.5,3242
638.3,4629.4
195.6,4047.7
887.1,5670.6
628.6,5206.7
641.9,6212.2
228.5,4508.2
304.6,3232.8
540.2,4811.2
253,4765.9
181.5,3996
896.4,7695.5
147.1,4174.8
630.6,5549.2
671.7,5528.9
1069.6,5835.8
436.7,4083.5
67.5,2923.6
496.6,4950.8
426.8,4410.5
478.7,6558.2
371.7,3311.5
441.7,5410.1
640.4,4678.7
104.8,2908.3
412.6,3898.9
532.4,5517.9
298.6,5451.4
128,4932.8
321.7,4349.1
447.3,6294.8
174.8,2443.9
187.9,4579
430.1,4701.8
447.7,4185.8
623.7,5588.8
517,6614
324.7,3546.9
814.7,6470.7
504.2,6575.7
399.5,5028
559.8,5825.1
2123.1,8287.6
896.8,6568.4
478.2,4736.6
255.7,6328.6
259.2,3824
774.3,5066
300.6,4128.9
172.7,3963.8
335.9,4616.1
315,3253.4
669.1,4642.1
163,3696.7
850,5162.3
571.4,4932.4
656.6,6128
219.3,4235.4
294.6,3278
506.5,4441.3
224.8,4108.4
229.6,3721.2
805.4,7095.6
124.8,3704.4
607.4,5068.8
734.5,5873.1
990.1,5478.1
446.3,4096.9
61.8,2586.3
436.7,4498.8
443.9,4778.5
473,6094.5
360.4,3092.3
401.8,4962.3
720,4641.2
99,2545.9
421.1,3992.5
577.1,5725.1
285.7,5048.3
126.9,4564.9
309.1,3946.7
406.4,5875.8
174.8,2336.4
190.5,4248.6
304.2,4499.8
416,3685
613.8,5404.8
494.2,5897.4
297.7,3202.9
772.6,5904.9
476.4,6150.7
375,4602.8
453.1,5012.9
1915.4,7358.4
826.7,5954.4
456.7,4048.5
252.1,5557.5
238.7,3627.1
728.1,4813.3
283.8,3846
181.1,3737.9
326.6,4203.2
322.2,3112.6
640.9,4385.7
159.6,3521.6
807.1,4549.9
576.8,4434
716.7,5760.8
190.9,3843.3
280.4,2927.7
477.2,4052.7
212.6,4431.8
217.7,3569.9
655.2,6046.1
125.1,3231.2
553.1,4610.3
686.8,5659.4
914.1,4988.5
409.6,3774.1
53.7,2621.8
397.9,4107.2
423.4,4505.7
487.8,5763
342.8,2852.6
355.2,4650.3
616.8,4154.1
120,2427.6
402,3609.6
512.2,5395
256,4862
132.6,4000.2
292.5,3669
371.8,5706
171.8,2247.2
190.9,4064.8
237.2,3776.7