State,Average pre-tax personal income for known incomes(state and year level),Average pre-tax personal income for unknown incomes(year level),Year,Income rank by year,Number of reported incomes,Number of millionaires,Individuals in poverty,Percentage of poppulation who are millionaires,Poverty rate,Gini coefficient,white percentage,Black percentage,Number of people,Black people,Other percentage,Population,Violent crime rate,Property crime rates,Area,Population density
Alabama,7103.102183,58596.75562,1980,51,2861,708,1085,0.247465921,0.3792380287,0.5815772522,0.7112897588,0.2866130724,2861,820,0.002097168822,3861466,448.5,4485.1,50645,76.25
Alaska,13105.67303,58596.75562,1980,1,2126,606,470,0.285042333,0.2210724365,0.5422910957,0.7873941675,0.04515522107,2126,96,0.1674506115,440142,436,5209.7,570641,0.77
Arizona,8987.779813,58596.75562,1980,26,3163,815,949,0.2576667721,0.3000316156,0.556101381,0.9522605122,0.01928548846,3163,61,0.02845399937,2715357,650.9,7519.9,113594,23.90
Arkansas,7209.192235,58596.75562,1980,49,2805,693,966,0.2470588235,0.3443850267,0.5534495557,0.8524064171,0.1397504456,2805,392,0.007843137255,2284037,335.2,3475.9,52035,43.89
California,9920.986345,58596.75562,1980,9,15131,3633,4202,0.2401030996,0.2777080167,0.543816149,0.8696054458,0.06529641134,15131,988,0.06509814289,23532680,893.6,6939.5,155779,151.06
Colorado,10702.54599,58596.75562,1980,2,2701,646,709,0.2391706775,0.2624953721,0.5289503002,0.9585338763,0.01888189559,2701,51,0.02258422806,2878407,528.6,6804.9,103642,27.77
Connecticut,10365.41085,58596.75562,1980,5,2114,437,601,0.2067171239,0.284295175,0.5295792972,0.9271523179,0.06385998108,2114,135,0.008987701041,3095224,412.5,5469.2,4842,639.24
Delaware,9149.419852,58596.75562,1980,22,1932,441,618,0.2282608696,0.3198757764,0.557159664,0.8193581781,0.1744306418,1932,337,0.006211180124,594779,474.8,6301.8,1949,305.17
District of Columbia,10547.26366,58596.75562,1980,3,1825,361,511,0.1978082192,0.28,0.529548185,0.2915068493,0.6975342466,1825,1273,0.01095890411,635233,2010.6,8012.2,61,"10,413.66"
Florida,8052.960233,58596.75562,1980,39,5459,1159,1678,0.2123099469,0.3073823045,0.5259903008,0.8235940648,0.1626671552,5459,888,0.01373878,9567112,983.5,7418.4,53625,178.41
Georgia,8645.852431,58596.75562,1980,33,3167,802,994,0.2532365014,0.3138616988,0.5583167069,0.8004420587,0.1910325229,3167,605,0.008525418377,5400851,555.3,5048.3,57513,93.91
Hawaii,9688.855789,58596.75562,1980,12,1965,488,518,0.248346056,0.2636132316,0.5041481402,0.3256997455,0.006615776081,1965,13,0.6676844784,964680,299.5,7182.8,6423,150.19
Idaho,8504.501592,58596.75562,1980,34,2639,755,799,0.2860932171,0.3027661993,0.5506098415,0.9840848806,0.0007578628268,2639,2,0.01515725654,943629,313.4,4468.8,82643,11.42
Illinois,9990.219686,58596.75562,1980,8,6443,1536,1865,0.2383982617,0.289461431,0.5391573829,0.8454136272,0.1412385535,6443,910,0.01334781934,11355062,808,5461.1,55519,204.53
Indiana,8979.569521,58596.75562,1980,27,3430,884,1007,0.2577259475,0.2935860058,0.5259654046,0.9192419825,0.07434402332,3430,255,0.006413994169,5461103,377.8,4552.5,35826,152.43
Iowa,8994.97254,58596.75562,1980,25,2817,632,857,0.2243521477,0.3042243521,0.5307086637,0.9751508697,0.01845935392,2817,52,0.006389776358,2907804,200.4,4546.4,55857,52.06
Kansas,9255.385523,58596.75562,1980,17,2392,527,655,0.2203177258,0.2738294314,0.5110397202,0.9343645485,0.05894648829,2392,141,0.006688963211,2354783,389.3,4989.5,81759,28.80
Kentucky,7882.664352,58596.75562,1980,41,2803,643,984,0.2293970746,0.3510524438,0.5593300643,0.9140206921,0.08312522298,2803,233,0.002854084909,3641479,266.7,3167.1,39486,92.22
Louisiana,7767.397722,58596.75562,1980,43,2803,784,953,0.2797003211,0.3399928648,0.5824990083,0.7117374242,0.2839814484,2803,796,0.004281127364,4199542,665,4788.8,43204,97.20
Maine,7401.421249,58596.75562,1980,47,2393,520,800,0.2173004597,0.3343083995,0.5229444685,0.984956122,0.007104053489,2393,17,0.007939824488,1123670,193.4,4174.2,30843,36.43
Maryland,10597.47425,58596.75562,1980,19,2645,587,760,0.2219281664,0.2873345936,0.5476399006,0.7652173913,0.2143667297,2645,567,0.02041587902,4192211,852.4,5777.7,9707,431.88
Massachusetts,9298.37985,58596.75562,1980,18,3741,803,1125,0.2146484897,0.3007217322,0.5330493241,0.9465383587,0.03875968992,3741,145,0.01470195135,5728288,601.3,5477.8,7800,734.40
Michigan,9680.22605,58596.75562,1980,11,5672,1434,1681,0.2528208745,0.2963681241,0.5422601955,0.8712976023,0.1130112835,5672,641,0.01569111425,9228128,639.5,6036.4,56539,163.22
Minnesota,9252.214253,58596.75562,1980,20,2825,664,843,0.2350442478,0.2984070796,0.5358530475,0.9734513274,0.01061946903,2825,30,0.01592920354,4061235,227.8,4571.7,79627,51.00
Mississippi,7226.312531,58596.75562,1980,50,2681,694,956,0.2588586348,0.3565833644,0.5654586537,0.684073107,0.3121969414,2681,837,0.003729951511,2511491,341.9,3075.2,46923,53.52
Missouri,8811.214377,58596.75562,1980,28,3038,687,915,0.2261356155,0.3011849901,0.5323997763,0.8808426596,0.1082949309,3038,329,0.01086240948,4901288,554.5,4878.6,68742,71.30
"Montana
",8606.240277,58596.75562,1980,31,2485,608,749,0.244668008,0.3014084507,0.5488180817,0.9303822938,0.002414486922,2485,6,0.06720321932,781592,222.6,4801.9,145546,5.37
Nebraska,8425.778006,58596.75562,1980,36,2497,551,784,0.2206647978,0.3139767721,0.5377963924,0.9651581898,0.03043652383,2497,76,0.004405286344,1563921,224.6,4080.6,76824,20.36
Nevada,10078.68459,58596.75562,1980,7,2848,654,767,0.2296348315,0.2693117978,0.5213388683,0.9048455056,0.06425561798,2848,183,0.0308988764,800312,912.6,7941.4,109781,7.29
New Hampshire,9368.715003,58596.75562,1980,16,2048,455,552,0.2221679688,0.26953125,0.5029572213,0.9916992188,0.0029296875,2048,6,0.00537109375,919114,179.8,4499.8,8953,102.66
New Jersey,9609.46789,58596.75562,1980,13,4370,991,1311,0.2267734554,0.3,0.5482309046,0.8828375286,0.1057208238,4370,462,0.0114416476,7342164,604.4,5797,7354,998.39
New Mexico,7692.584019,58596.75562,1980,45,3604,1051,1216,0.2916204218,0.3374028857,0.5823721787,0.9139844617,0.01970033296,3604,71,0.06631520533,1295474,615,5364.1,121298,10.68
New York,8830.19959,58596.75562,1980,29,10829,2542,3438,0.2347400499,0.3174808385,0.5561247802,0.8404284791,0.1375011543,10829,1489,0.02207036661,17506690,1029.5,5882,47126,371.49
North Carolina,8105.809465,58596.75562,1980,38,3222,813,997,0.2523277467,0.3094351335,0.5393383352,0.7650527623,0.2147734327,3222,692,0.02017380509,5843665,455,4185.5,48618,120.20
North Dakota,8292.868944,58596.75562,1980,37,2616,655,811,0.250382263,0.3100152905,0.5517929956,0.9403669725,0.004204892966,2616,11,0.05542813456,652437,54,2909.7,69001,9.46
Ohio,9413.465657,58596.75562,1980,15,6170,1482,1875,0.2401944895,0.3038897893,0.548531341,0.9071312804,0.08654781199,6170,534,0.006320907618,10766808,498.3,4933.1,40861,263.50
Oklahoma,8448.413944,58596.75562,1980,35,2642,591,858,0.2236941711,0.3247539743,0.5601895865,0.8716881151,0.06775170326,2642,179,0.06056018168,3001252,419.5,4633.4,68595,43.75
Oregon,9228.632483,58596.75562,1980,21,2799,644,820,0.2300821722,0.2929617721,0.5267874959,0.9585566274,0.0146480886,2799,41,0.02679528403,2610477,490.4,6196.5,95988,27.20
Pennsylvania,8775.79219,58596.75562,1980,30,6714,1464,2106,0.218051832,0.3136729223,0.5412666027,0.900357462,0.09219541257,6714,619,0.00744712541,11824220,363.9,3372.4,44743,264.27
Rhode Island,9093.381928,58596.75562,1980,23,2096,436,613,0.2080152672,0.2924618321,0.5086254008,0.9623091603,0.0286259542,2096,60,0.009064885496,945835,408.5,5524.1,1034,914.73
South Carolina,7420.082418,58596.75562,1980,46,2159,521,760,0.2413154238,0.3520148217,0.5656709883,0.7142195461,0.2723483094,2159,588,0.01343214451,3064557,660,4779.2,30061,101.94
South Dakota,7827.991255,58596.75562,1980,42,2673,729,828,0.2727272727,0.3097643098,0.5442290735,0.9319117097,0.001122334456,2673,3,0.06696595585,688217,126.8,3116.3,75811,9.08
Tennessee,7785.475027,58596.75562,1980,44,2413,571,826,0.2366348943,0.3423124741,0.5525814375,0.8433485288,0.1487774554,2413,359,0.007874015748,4545590,458.1,4039.8,41235,110.24
Texas,8644.278352,58596.75562,1980,32,8964,2386,2865,0.2661758144,0.3196117805,0.5664505278,0.8932396252,0.09995537706,8964,896,0.006804997769,14169829,550.3,5592.7,261232,54.24
Utah,9089.374946,58596.75562,1980,24,3448,1141,915,0.3309164733,0.2653712297,0.5333642996,0.9646171694,0.003480278422,3448,12,0.0319025522,1458729,303.3,5577.3,82170,17.75
Vermont,8003.52578,58596.75562,1980,40,2106,535,628,0.2540360874,0.2981956315,0.5238507873,0.9938271605,0.0009496676163,2106,2,0.00522317189,511299,178.8,4809.7,9217,55.47
Virginia,9781.84158,58596.75562,1980,10,2841,638,853,0.2245688138,0.3002463921,0.543790876,0.8004223865,0.1914818726,2841,544,0.008095740936,5323412,307.2,4312.8,39490,134.80
Washington,10392.64089,58596.75562,1980,4,2779,710,745,0.2554875855,0.2680820439,0.5288808618,0.9219143577,0.02338970853,2779,65,0.05469593379,4113331,464.3,6450.7,66456,61.90
West Virginia,7437.615156,58596.75562,1980,48,2659,640,965,0.2406919895,0.3629183904,0.5747308042,0.9691613388,0.02858217375,2659,76,0.002256487401,1930787,183.7,2367.9,24038,80.32
Wisconsin,9473.160599,58596.75562,1980,14,2620,615,754,0.2347328244,0.2877862595,0.5282857861,0.9515267176,0.04312977099,2620,113,0.00534351145,4680917,182.6,4616,54158,86.43
Wyoming,10333.15672,58596.75562,1980,6,2315,573,592,0.2475161987,0.2557235421,0.5224630431,0.9745140389,0.004319654428,2315,10,0.0211663067,468954,392.6,4593.8,97093,4.83
Alabama,8028.480483,62366.61642,1981,47,2846,694,1036,0.243851019,0.3640196767,0.5694872077,0.7350667604,0.2645818693,2846,753,0.0003513703443,3916000,470.5,4428.3,50645,77.32
Alaska,14112.34201,62366.61642,1981,1,2148,572,525,0.2662942272,0.2444134078,0.5599514211,0.7839851024,0.02746741155,2148,59,0.188547486,412000,615.8,5979.1,570641,0.72
Arizona,9950.062078,62366.61642,1981,23,3005,782,882,0.2602329451,0.2935108153,0.5397868212,0.9537437604,0.02296173045,3005,69,0.02329450915,2793000,575.8,7038.1,113594,24.59
Arkansas,7603.554605,62366.61642,1981,50,2619,632,928,0.2413134784,0.3543337152,0.5545676706,0.855288278,0.1324933181,2619,347,0.01221840397,2294000,310.3,3486.1,52035,44.09
California,10779.84873,62366.61642,1981,7,15853,3881,4304,0.2448117076,0.2714943544,0.5385025582,0.8622342774,0.06749511134,15853,1070,0.07027061124,24159000,863,6727.5,155779,155.09
Colorado,10932.63061,62366.61642,1981,4,2757,686,769,0.2488211824,0.2789263692,0.5369800227,0.9644541168,0.02285092492,2757,63,0.01269495829,2963000,531.7,6821.4,103642,28.59
Connecticut,10907.80177,62366.61642,1981,5,2019,440,523,0.2179296682,0.2590391283,0.510817206,0.9316493314,0.06785537395,2019,137,0.0004952947003,3132000,448.1,5389.2,4842,646.84
Delaware,10258.44504,62366.61642,1981,16,1921,429,595,0.2233211869,0.3097345133,0.5458096189,0.8370640292,0.1535658511,1921,295,0.009370119729,598000,509,6180.3,1949,306.82
District of Columbia,10833.88219,62366.61642,1981,6,1841,381,559,0.2069527431,0.3036393265,0.5399069666,0.2770233569,0.7017925041,1841,1292,0.02118413905,636000,2274.8,8402.8,61,"10,426.23"
Florida,8823.785747,62366.61642,1981,41,5503,1125,1793,0.2044339451,0.3258222788,0.5349706127,0.8357259677,0.1548246411,5503,852,0.009449391241,10166000,965.1,7067.4,53625,189.58
Georgia,9548.41189,62366.61642,1981,30,3056,701,968,0.2293848168,0.3167539267,0.550630216,0.7866492147,0.2054973822,3056,628,0.007853403141,5569000,548.2,5080.4,57513,96.83
Hawaii,10506.25322,62366.61642,1981,10,2069,517,545,0.2498791687,0.2634122765,0.5084990232,0.311261479,0.009666505558,2069,20,0.6790720155,979000,247.6,6295.8,6423,152.42
Idaho,8975.685003,62366.61642,1981,38,2408,681,691,0.282807309,0.2869601329,0.5352830039,0.9879568106,0.0008305647841,2408,2,0.01121262458,959000,283.3,4247.4,82643,11.60
Illinois,10737.14662,62366.61642,1981,8,6433,1536,1870,0.2387688481,0.2906886367,0.5369931213,0.8437742888,0.1433234883,6433,922,0.01290222291,11455000,792.5,5323.2,55519,206.33
Indiana,9253.690213,62366.61642,1981,33,3377,843,1033,0.249629849,0.3058928043,0.5317103301,0.9271542789,0.06721942553,3377,227,0.005626295529,5466000,341.6,4198.2,35826,152.57
Iowa,9710.204753,62366.61642,1981,27,2876,688,869,0.2392211405,0.3021557719,0.5326469996,0.9697496523,0.0173852573,2876,50,0.0128650904,2897000,204.2,4512.4,55857,51.86
Kansas,9904.647769,62366.61642,1981,21,2429,524,718,0.2157266365,0.295594895,0.5195449304,0.924248662,0.06628242075,2429,161,0.00946891725,2381000,369.4,5034.9,81759,29.12
Kentucky,8591.2868,62366.61642,1981,42,2790,684,938,0.2451612903,0.3362007168,0.5588676562,0.9225806452,0.07419354839,2790,207,0.003225806452,3661000,289.5,3242,39486,92.72
Louisiana,8834.204414,62366.61642,1981,40,2635,732,875,0.2777988615,0.3320683112,0.5768472041,0.7134724858,0.280455408,2635,739,0.006072106262,4305000,638.3,4629.4,43204,99.64
Maine,8284.538711,62366.61642,1981,46,2373,526,752,0.2216603456,0.3168984408,0.5181072945,0.98820059,0.002949852507,2373,7,0.008849557522,1132000,195.6,4047.7,30843,36.70
Maryland,11417.79836,62366.61642,1981,19,2647,579,792,0.2187381942,0.299206649,0.5486831155,0.7721949377,0.2066490366,2647,547,0.02115602569,4261000,887.1,5670.6,9707,438.96
Massachusetts,10243.3666,62366.61642,1981,18,3706,820,1107,0.2212628171,0.298704803,0.5320403884,0.953588775,0.03237992445,3706,120,0.01403130059,5770000,628.6,5206.7,7800,739.74
Michigan,10151.62606,62366.61642,1981,20,5631,1395,1736,0.2477357485,0.308293376,0.546569739,0.8753329782,0.1099271888,5631,619,0.01473983307,9201000,641.9,6212.2,56539,162.74
Minnesota,9882.115349,62366.61642,1981,22,2772,622,807,0.2243867244,0.2911255411,0.5266919175,0.9671717172,0.01298701299,2772,36,0.01984126984,4090000,228.5,4508.2,79627,51.36
Mississippi,7371.368951,62366.61642,1981,51,2813,726,1048,0.2580874511,0.37255599,0.5797153858,0.6807678635,0.3135442588,2813,882,0.005687877711,2530000,304.6,3232.8,46923,53.92
Missouri,9173.750421,62366.61642,1981,35,3029,653,977,0.2155827006,0.3225486959,0.5421193292,0.8969957082,0.09475074282,3029,287,0.008253549026,4938000,540.2,4811.2,68742,71.83
"Montana
",9791.510917,62366.61642,1981,24,2439,607,703,0.2488724887,0.2882328823,0.5408257325,0.942599426,0.0008200082001,2439,2,0.05658056581,792000,253,4765.9,145546,5.44
Nebraska,9272.856206,62366.61642,1981,31,2593,611,801,0.2356344003,0.3089086001,0.5458117103,0.953721558,0.03933667567,2593,102,0.006941766294,1576000,181.5,3996,76824,20.51
Nevada,11039.21508,62366.61642,1981,3,2975,720,725,0.2420168067,0.243697479,0.5106653753,0.8857142857,0.07731092437,2975,230,0.03697478992,845000,896.4,7695.5,109781,7.70
New Hampshire,10431.8106,62366.61642,1981,12,1941,431,518,0.2220504894,0.266872746,0.5061435268,0.9922720247,0.002060793405,1941,4,0.005667181865,935000,147.1,4174.8,8953,104.43
New Jersey,10280.34517,62366.61642,1981,14,4647,1043,1414,0.2244458791,0.3042823327,0.545534191,0.8803529159,0.1030772541,4647,479,0.01656983,7401000,630.6,5549.2,7354,"1,006.39"
New Mexico,8358.162013,62366.61642,1981,45,3516,973,1187,0.2767349261,0.3375995449,0.5762625653,0.8953356086,0.0204778157,3516,72,0.08418657565,1327000,671.7,5528.9,121298,10.94
New York,9613.832549,62366.61642,1981,28,10445,2371,3392,0.2269985639,0.3247486836,0.5541739287,0.8437529919,0.1366203925,10445,1427,0.01962661561,17594000,1069.6,5835.8,47126,373.34
North Carolina,8933.142114,62366.61642,1981,39,3008,700,924,0.232712766,0.3071808511,0.5376731384,0.7636303191,0.2127659574,3008,640,0.0236037234,5951000,436.7,4083.5,48618,122.40
North Dakota,8991.707086,62366.61642,1981,34,2657,653,841,0.2457659014,0.3165223937,NULL,0.9465562665,0.00564546481,2657,15,0.04779826872,658000,67.5,2923.6,69001,9.54
Ohio,10244.64776,62366.61642,1981,17,6300,1488,1883,0.2361904762,0.2988888889,0.5358546929,0.8919047619,0.103015873,6300,649,0.005079365079,10776000,496.6,4950.8,40861,263.72
Oklahoma,9726.736104,62366.61642,1981,26,2657,588,817,0.2213022205,0.30748965,0.5495704957,0.8611215657,0.06285284155,2657,167,0.07602559277,3098000,426.8,4410.5,68595,45.16
Oregon,10265.01988,62366.61642,1981,13,2776,663,793,0.238832853,0.2856628242,0.5271457087,0.9668587896,0.01080691643,2776,30,0.02233429395,2647000,478.7,6558.2,95988,27.58
Pennsylvania,9564.35083,62366.61642,1981,29,6575,1393,2070,0.2118631179,0.3148288973,0.5321926417,0.903269962,0.09003802281,6575,592,0.006692015209,11864000,371.7,3311.5,44743,265.16
Rhode Island,9175.936567,62366.61642,1981,36,2019,411,601,0.2035661218,0.2976721149,0.4836406432,0.9623576028,0.02625061912,2019,53,0.01139177811,952000,441.7,5410.1,1034,920.70
South Carolina,7986.289359,62366.61642,1981,48,2146,539,697,0.2511649581,0.3247903075,0.5442216705,0.6756756757,0.3084808947,2146,662,0.01584342964,3166000,640.4,4678.7,30061,105.32
South Dakota,8333.408519,62366.61642,1981,43,2756,690,886,0.2503628447,0.3214804064,0.5547090099,0.9096516691,0.001814223512,2756,5,0.0885341074,685000,104.8,2908.3,75811,9.04
Tennessee,8480.713326,62366.61642,1981,44,2311,525,791,0.2271743834,0.342276071,0.549072983,0.8251839031,0.1678926871,2311,388,0.006923409779,4610000,412.6,3898.9,41235,111.80
Texas,9312.448316,62366.61642,1981,32,9330,2529,2848,0.2710610932,0.3052518757,0.5561703878,0.8879957128,0.1009646302,9330,942,0.01103965702,14755000,532.4,5517.9,261232,56.48
Utah,9892.561983,62366.61642,1981,25,3608,1188,1004,0.3292682927,0.27827051,0.5537899876,0.9634146341,0.00110864745,3608,4,0.0354767184,1516000,298.6,5451.4,82170,18.45
Vermont,9106.715033,62366.61642,1981,37,2019,489,579,0.2421991085,0.2867756315,0.5062801369,0.9940564636,0.0004952947003,2019,1,0.005448241704,515000,128,4932.8,9217,55.88
Virginia,10476.06456,62366.61642,1981,11,2927,650,867,0.2220703792,0.2962077212,0.5386420533,0.7816877349,0.2012299283,2927,589,0.01708233686,5426000,321.7,4349.1,39490,137.40
Washington,10595.2723,62366.61642,1981,9,2750,642,813,0.2334545455,0.2956363636,0.5408275202,0.9141818182,0.02363636364,2750,65,0.06218181818,4212000,447.3,6294.8,66456,63.38
West Virginia,7910.243756,62366.61642,1981,49,2649,647,944,0.2442431106,0.3563608909,0.5682218632,0.9724424311,0.02491506229,2649,66,0.002642506606,1951000,174.8,2443.9,24038,81.16
